sample_id	epic_matrix_name	reference	epic_celltype	fraction
SCPCS000246	cellFractions	TRef	Bcells	1.14745814570579e-6
SCPCS000246	cellFractions	TRef	CAFs	0.9999640514133614
SCPCS000246	cellFractions	TRef	CD4_Tcells	9.244866473353271e-8
SCPCS000246	cellFractions	TRef	CD8_Tcells	3.4403230476975676e-5
SCPCS000246	cellFractions	TRef	Endothelial	1.5201050423676858e-7
SCPCS000246	cellFractions	TRef	Macrophages	3.9304276758996897e-8
SCPCS000246	cellFractions	TRef	NKcells	1.0417711369119496e-7
SCPCS000246	cellFractions	TRef	otherCells	9.957456436700216e-9
SCPCS000247	cellFractions	TRef	Bcells	4.2267831373976036e-4
SCPCS000247	cellFractions	TRef	CAFs	0.13557465851714778
SCPCS000247	cellFractions	TRef	CD4_Tcells	0.00245519047431022
SCPCS000247	cellFractions	TRef	CD8_Tcells	0.007312964092783181
SCPCS000247	cellFractions	TRef	Endothelial	0.0419758400577788
SCPCS000247	cellFractions	TRef	Macrophages	0.0032591052849957358
SCPCS000247	cellFractions	TRef	NKcells	1.740394970362497e-8
SCPCS000247	cellFractions	TRef	otherCells	0.8089995458552949
SCPCS000409	cellFractions	TRef	Bcells	1.064391153127042e-8
SCPCS000409	cellFractions	TRef	CAFs	0.0166850345901457
SCPCS000409	cellFractions	TRef	CD4_Tcells	2.3155393303218908e-7
SCPCS000409	cellFractions	TRef	CD8_Tcells	0.07150127371456341
SCPCS000409	cellFractions	TRef	Endothelial	0.045598973281436354
SCPCS000409	cellFractions	TRef	Macrophages	0.012056374188768275
SCPCS000409	cellFractions	TRef	NKcells	3.9210579325235e-7
SCPCS000409	cellFractions	TRef	otherCells	0.8541577099214485
SCPCS000410	cellFractions	TRef	Bcells	0.0019801007687103465
SCPCS000410	cellFractions	TRef	CAFs	0.017342519986918426
SCPCS000410	cellFractions	TRef	CD4_Tcells	0.02615382755575975
SCPCS000410	cellFractions	TRef	CD8_Tcells	0.033057703982440165
SCPCS000410	cellFractions	TRef	Endothelial	0.01954904262674443
SCPCS000410	cellFractions	TRef	Macrophages	0.005677242113861711
SCPCS000410	cellFractions	TRef	NKcells	9.287006724524448e-4
SCPCS000410	cellFractions	TRef	otherCells	0.8953108622931129
SCPCS000411	cellFractions	TRef	Bcells	6.758415988462275e-8
SCPCS000411	cellFractions	TRef	CAFs	0.192719239578004
SCPCS000411	cellFractions	TRef	CD4_Tcells	0.0075414474318545865
SCPCS000411	cellFractions	TRef	CD8_Tcells	5.855111869296622e-4
SCPCS000411	cellFractions	TRef	Endothelial	1.2264012210572144e-5
SCPCS000411	cellFractions	TRef	Macrophages	0.008052181223292461
SCPCS000411	cellFractions	TRef	NKcells	2.6130846745773564e-6
SCPCS000411	cellFractions	TRef	otherCells	0.7910866758988744
SCPCS000412	cellFractions	TRef	Bcells	5.3553954903562235e-8
SCPCS000412	cellFractions	TRef	CAFs	0.03046578597540116
SCPCS000412	cellFractions	TRef	CD4_Tcells	9.612304747529698e-8
SCPCS000412	cellFractions	TRef	CD8_Tcells	0.0590359947657096
SCPCS000412	cellFractions	TRef	Endothelial	0.05162733232382127
SCPCS000412	cellFractions	TRef	Macrophages	0.014076685823967282
SCPCS000412	cellFractions	TRef	NKcells	9.765102078198335e-4
SCPCS000412	cellFractions	TRef	otherCells	0.8438175412262784
SCPCS000413	cellFractions	TRef	Bcells	2.8772821644628022e-5
SCPCS000413	cellFractions	TRef	CAFs	0.9998531736181305
SCPCS000413	cellFractions	TRef	CD4_Tcells	3.396611692221842e-7
SCPCS000413	cellFractions	TRef	CD8_Tcells	1.0834968203909866e-4
SCPCS000413	cellFractions	TRef	Endothelial	3.87868509406792e-7
SCPCS000413	cellFractions	TRef	Macrophages	8.312766483854913e-6
SCPCS000413	cellFractions	TRef	NKcells	4.843553772178587e-7
SCPCS000413	cellFractions	TRef	otherCells	1.7922664613099815e-7
SCPCS000415	cellFractions	TRef	Bcells	0.013638857213393321
SCPCS000415	cellFractions	TRef	CAFs	0.05664120081558585
SCPCS000415	cellFractions	TRef	CD4_Tcells	0.07423467824696398
SCPCS000415	cellFractions	TRef	CD8_Tcells	0.021692183487079384
SCPCS000415	cellFractions	TRef	Endothelial	0.0018122583251644652
SCPCS000415	cellFractions	TRef	Macrophages	0.0041438862272960945
SCPCS000415	cellFractions	TRef	NKcells	0.013473500681135387
SCPCS000415	cellFractions	TRef	otherCells	0.8143634350033816
SCPCS000416	cellFractions	TRef	Bcells	5.620187486628099e-7
SCPCS000416	cellFractions	TRef	CAFs	0.26544211875301077
SCPCS000416	cellFractions	TRef	CD4_Tcells	0.03168516908383487
SCPCS000416	cellFractions	TRef	CD8_Tcells	1.0033259156745026e-6
SCPCS000416	cellFractions	TRef	Endothelial	0.017075054914510224
SCPCS000416	cellFractions	TRef	Macrophages	0.004862091013159951
SCPCS000416	cellFractions	TRef	NKcells	5.363596094140716e-7
